,country,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1,Albania,16.80,16.44,15.75,15.00,14.40,14.10,13.80,13.40,13.10,13.80,14.00,14.00,13.40,15.60,14.00
2,Algeria,29.50,27.31,25.66,23.72,17.66,15.27,12.51,13.79,11.33,10.17,9.96,9.97,11.00,9.83,10.78
3,Argentina,17.13,19.21,22.45,17.25,13.63,11.58,10.18,8.48,7.88,8.68,7.75,7.15,7.20,7.08,8.83
4,Armenia,NA,38.40,35.30,31.20,31.60,31.20,27.80,28.70,16.40,18.70,19.00,19.00,19.00,18.50,18.00
5,Australia,6.27,6.77,6.38,5.93,5.38,5.05,4.78,4.37,4.24,5.58,5.22,5.08,5.23,5.66,6.16
6,Austria,3.63,3.63,4.18,4.29,4.96,5.18,4.73,4.43,3.80,4.78,4.42,4.15,4.38,4.90,5.00
7,"Azerbaijan, Rep. of",NA,NA,NA,9.67,8.39,7.62,6.83,6.54,6.07,6.05,6.05,6.05,6.05,6.05,6.05
8,"Bahamas, The",7.00,6.90,9.10,10.83,10.20,10.17,7.63,7.85,8.70,14.25,15.08,15.89,14.69,16.18,16.35
9,Barbados,9.28,9.86,10.30,11.00,9.58,9.06,8.73,7.45,8.12,9.95,10.75,11.21,11.60,11.73,15.24
10,Belarus,2.11,2.26,2.65,3.14,2.52,1.70,1.42,1.06,0.94,0.90,0.83,0.67,0.62,0.52,0.52
11,Belgium,6.94,6.72,7.62,8.18,8.31,8.40,8.20,7.49,7.09,7.88,8.27,7.25,7.68,8.43,8.50
12,Belize,11.50,9.07,10.00,12.90,11.60,11.00,9.40,12.10,8.20,12.50,13.72,14.93,16.15,14.09,14.09
13,Bosnia & Herzegovina,31.10,31.10,31.10,31.10,31.10,31.10,31.10,29.01,23.41,24.07,27.20,27.60,28.00,27.00,25.50
14,Brazil,7.10,11.27,11.68,12.32,11.48,9.83,9.98,9.28,7.89,8.08,6.74,5.98,5.48,5.38,5.50
15,Brunei Darussalam,4.72,7.20,3.46,4.47,3.50,4.10,4.00,3.40,3.70,3.50,2.70,2.70,2.70,2.70,2.70
16,Bulgaria,18.13,17.51,17.42,13.86,12.19,10.18,9.02,6.93,5.66,6.88,10.31,11.35,12.38,13.04,12.50
17,Cabo Verde,20.00,21.00,20.50,20.00,19.50,21.40,13.40,15.20,13.00,13.00,10.70,12.20,16.80,16.40,12.00
18,Canada,6.83,7.27,7.67,7.58,7.18,6.76,6.30,6.06,6.15,8.29,7.99,7.44,7.31,7.08,6.97
19,Chile,9.71,9.87,9.80,9.53,10.02,9.30,7.95,7.01,7.75,10.83,8.15,7.12,6.43,5.93,6.63
20,"China,P.R.: Mainland",3.10,3.60,4.00,4.30,4.20,4.20,4.10,4.00,4.20,4.30,4.10,4.10,4.10,4.10,4.10
21,Colombia,13.33,14.98,15.58,14.11,13.67,11.81,12.04,11.20,11.25,12.01,11.80,10.83,10.38,9.65,9.30
22,Costa Rica,5.19,6.07,6.40,6.67,6.49,6.63,5.96,4.60,4.95,7.82,7.29,7.66,7.77,8.14,8.20
23,Croatia,16.28,15.63,14.95,14.28,13.78,12.78,11.19,9.41,8.28,9.00,12.10,13.58,16.06,16.62,16.79
24,Cyprus,4.80,3.91,3.53,4.13,4.61,5.34,4.53,3.90,3.64,5.42,6.29,7.91,11.91,15.89,16.59
25,Czech Republic,8.82,8.17,7.31,7.81,8.32,7.93,7.15,5.32,4.39,6.66,7.28,6.71,6.98,6.95,6.41
26,Denmark,4.32,4.51,4.64,5.43,5.52,4.80,3.90,3.77,3.46,5.99,7.48,7.57,7.53,7.02,6.90
27,Dominican Republic,6.34,7.18,6.62,6.76,6.14,6.41,5.49,5.01,4.64,5.31,5.00,5.78,6.44,7.02,6.37
28,Ecuador,14.10,10.42,8.64,9.81,10.97,10.71,10.10,8.80,6.92,8.49,7.59,6.00,4.93,4.74,5.00
29,Egypt,8.99,8.81,10.05,11.27,10.53,11.47,10.92,9.21,8.68,9.37,9.21,10.38,12.37,13.01,13.42
30,El Salvador,7.00,7.00,6.20,6.90,6.80,7.20,6.60,6.30,5.90,8.10,5.85,5.43,5.60,5.70,5.69
31,Estonia,14.60,13.01,11.23,10.34,10.14,8.03,5.91,4.59,5.46,13.55,16.71,12.33,10.02,8.63,6.96
32,Fiji,5.51,5.95,6.39,6.82,7.26,7.30,7.70,8.60,8.80,8.70,8.90,9.00,8.60,8.70,8.75
33,Finland,9.78,9.13,9.08,9.01,8.83,8.40,7.72,6.87,6.37,8.24,8.38,7.78,7.73,8.15,8.50
34,France,9.53,8.76,8.64,8.56,8.90,8.90,8.86,8.01,7.48,9.09,9.28,9.20,9.79,10.26,9.97
35,Georgia,10.35,11.15,12.59,11.50,12.62,13.80,13.58,13.28,16.47,16.85,16.29,15.06,15.03,16.14,NA
36,Germany,7.99,7.85,8.68,9.78,10.48,11.27,10.18,8.72,7.52,7.79,7.08,5.96,5.47,5.31,5.27
37,Greece,11.35,10.78,10.31,9.71,10.49,9.85,8.89,8.28,7.65,9.46,12.53,17.65,24.24,27.25,25.76
38,Honduras,4.00,4.05,4.43,3.74,3.94,3.95,4.31,4.17,4.74,4.49,4.60,5.03,4.40,4.40,4.50
39,Hungary,6.00,5.60,5.90,5.50,6.30,7.20,7.50,7.35,7.80,10.00,11.20,11.00,11.00,10.30,8.20
40,Iceland,1.33,1.40,2.50,3.36,3.10,2.06,1.28,1.01,1.65,8.02,8.13,7.43,5.77,4.44,4.02
41,India,4.30,4.00,4.30,3.90,3.90,4.40,4.30,3.70,4.10,3.90,3.50,3.50,3.60,3.60,3.60
42,Indonesia,6.08,8.10,9.06,9.50,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,6.10
43,"Iran, I.R. of",16.05,16.63,12.20,11.30,10.30,12.10,12.09,10.55,10.45,11.91,13.48,12.30,12.20,10.44,11.58
44,Ireland,4.25,3.93,4.45,4.58,4.49,4.39,4.50,4.67,6.40,12.01,13.85,14.62,14.67,13.04,11.22
45,Israel,10.90,11.63,12.88,13.40,12.90,11.20,10.45,9.15,7.65,9.43,8.25,7.05,6.85,6.28,6.00
46,Italy,10.10,9.10,8.61,8.45,7.99,7.69,6.78,6.10,6.78,7.81,8.42,8.42,10.68,12.21,12.57
47,Jamaica,15.50,15.00,14.20,11.80,12.20,11.23,10.33,9.85,10.58,11.35,12.38,13.00,13.93,15.28,15.28
48,Japan,4.73,5.04,5.36,5.24,4.72,4.43,4.13,3.83,3.98,5.05,5.04,4.57,4.34,4.03,3.71
49,Jordan,13.71,14.69,15.32,14.44,14.70,14.84,14.06,13.10,12.65,12.94,12.50,12.90,12.20,12.20,12.20
50,Kazakhstan,12.75,10.43,9.33,8.78,8.40,8.10,7.80,7.26,6.63,6.58,5.78,5.40,5.29,5.23,5.23
51,Korea,4.43,4.02,3.28,3.57,3.68,3.73,3.47,3.25,3.18,3.65,3.73,3.41,3.23,3.13,3.13
52,Kuwait,0.78,1.10,1.30,1.22,1.42,1.35,1.37,1.70,1.67,1.64,2.07,2.07,2.07,2.07,2.07
53,Kyrgyz Republic,7.50,7.80,12.50,9.90,8.50,8.10,8.30,8.20,8.20,8.40,8.60,7.92,7.74,7.65,7.56
54,Latvia,14.43,13.09,11.97,10.59,10.44,9.02,6.84,6.05,7.53,16.90,18.68,16.20,15.05,11.86,10.29
55,Lithuania,16.37,17.36,13.76,12.42,10.89,8.33,5.78,4.25,5.83,13.79,17.81,15.39,13.37,11.77,11.00
56,Luxembourg,2.40,2.20,2.50,3.30,3.70,4.10,4.30,4.20,4.20,5.50,5.80,5.70,6.12,6.86,7.06
57,"Macedonia, FYR",31.73,30.52,31.94,36.69,37.15,37.25,36.03,34.93,33.78,32.18,32.05,31.38,31.30,30.02,28.96
58,Malaysia,3.10,3.68,3.48,3.60,3.55,3.55,3.33,3.23,3.33,3.68,3.30,3.05,3.03,3.10,3.00
59,Malta,6.76,7.62,7.43,7.72,7.22,6.94,6.82,6.47,5.98,6.88,6.87,6.39,6.31,6.38,6.00
60,Mauritius,6.50,6.80,7.20,7.70,8.39,9.57,9.08,8.52,7.22,7.33,7.80,7.90,8.00,8.00,NA
61,Mexico,2.20,2.77,2.98,3.40,3.92,3.59,3.59,3.72,3.97,5.46,5.37,5.22,4.96,4.92,4.75
62,Moldova,8.50,7.30,6.80,7.90,8.10,7.30,7.40,5.10,4.00,6.40,7.40,6.70,5.60,5.10,6.00
63,"Montenegro, Rep. of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Morocco,13.39,12.26,11.33,11.43,10.80,11.06,9.67,9.80,9.57,9.09,9.06,8.91,8.99,9.23,9.13
65,Myanmar,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
66,Netherlands,3.06,2.54,3.08,4.15,5.07,5.29,4.36,3.58,3.07,3.73,4.46,4.45,5.28,6.73,7.25
67,New Zealand,6.15,5.45,5.28,4.75,4.05,3.83,3.83,3.68,4.13,6.13,6.53,6.53,6.90,6.18,5.66
68,Nicaragua,5.47,6.00,6.50,7.00,6.54,5.56,5.19,5.94,6.06,8.16,7.83,5.93,5.91,5.90,5.90
69,Nigeria,13.10,13.60,12.60,14.80,13.40,11.90,12.30,12.70,14.90,19.70,21.10,23.90,NA,NA,NA
70,Norway,3.43,3.55,3.89,4.49,4.47,4.62,3.43,2.51,2.60,3.16,3.58,3.28,3.22,3.50,3.70
71,Pakistan,6.87,7.82,8.27,8.27,7.69,7.69,6.20,5.32,5.20,5.46,5.55,5.95,6.45,6.20,6.75
72,Panama,13.52,14.71,14.11,13.65,12.35,10.33,9.11,6.78,5.85,6.93,6.85,4.66,4.25,4.32,4.32
73,Paraguay,7.30,7.60,10.80,8.10,7.30,5.80,6.70,5.60,5.70,6.40,5.70,5.60,5.80,5.40,5.50
74,Peru,7.85,9.25,9.42,9.42,9.44,9.58,8.54,8.42,8.38,8.39,7.88,7.73,6.80,7.52,6.00
75,Philippines,11.18,11.13,11.40,11.40,11.83,11.35,7.95,7.33,7.40,7.48,7.33,7.03,7.03,7.10,6.90
76,Poland,16.10,18.26,19.94,19.64,18.97,17.75,13.84,9.60,7.12,8.17,9.64,9.63,10.09,10.33,9.50
77,Portugal,3.92,4.01,5.00,6.26,6.62,7.58,7.65,7.96,7.55,9.43,10.77,12.68,15.53,16.18,14.20
78,Romania,7.16,6.61,8.44,7.03,8.07,7.17,7.27,6.41,5.79,6.86,7.28,7.40,7.04,7.31,7.17
79,Russia,10.59,8.94,8.00,8.60,8.20,7.60,7.20,6.10,6.30,8.40,7.30,6.50,5.50,5.50,5.64
80,Saudi Arabia,4.57,4.62,5.27,5.56,5.82,6.05,6.25,5.64,5.18,5.38,5.55,5.77,5.40,5.50,5.50
81,"Serbia, Republic of",12.10,12.20,14.47,16.00,19.53,21.83,21.56,18.80,14.70,17.40,20.00,24.40,23.10,21.00,21.57
82,Singapore,2.68,2.65,3.55,3.95,3.35,3.13,2.65,2.13,2.23,3.03,2.18,2.03,1.95,1.90,2.00
83,Slovak Republic,18.91,19.46,18.81,17.69,18.36,16.38,13.47,11.23,9.58,12.12,14.49,13.68,13.97,14.22,13.86
84,Slovenia,6.74,6.19,6.34,6.70,6.34,6.54,5.99,4.86,4.39,5.89,7.27,8.21,8.89,10.14,9.90
85,South Africa,23.00,25.95,27.80,27.65,25.15,24.65,23.55,23.00,22.53,23.70,24.88,24.80,24.88,24.73,25.22
86,Spain,13.86,10.54,11.48,11.50,10.95,9.15,8.45,8.23,11.25,17.88,19.85,21.40,24.80,26.10,24.64
87,Sri Lanka,7.57,7.90,8.80,8.40,8.30,7.70,6.60,6.20,6.00,5.90,5.00,4.10,4.00,4.00,4.00
88,Sudan,15.20,15.00,15.90,15.80,16.18,17.01,17.49,16.77,16.04,14.89,13.73,12.03,14.80,14.80,13.64
89,Suriname,13.77,13.73,9.66,6.55,8.38,11.08,12.28,10.68,9.36,9.02,7.56,8.01,8.50,8.50,8.93
90,Sweden,5.60,5.83,5.95,6.57,7.38,7.64,7.04,6.12,6.17,8.30,8.58,7.77,7.97,8.00,8.02
91,Switzerland,1.82,1.70,2.55,3.69,3.88,3.76,3.33,2.77,2.58,3.70,3.52,2.84,2.91,3.16,3.36
92,Syrian Arab Republic,13.48,8.17,11.67,10.78,12.29,8.09,8.18,8.41,10.92,8.14,8.61,NA,NA,NA,NA
93,Taiwan Prov.of China,2.99,4.57,5.17,4.99,4.44,4.13,3.91,3.91,4.14,5.85,5.21,4.39,4.24,4.18,4.00
94,Thailand,NA,1.80,1.40,1.50,1.50,1.86,1.52,1.36,1.37,1.50,1.05,0.66,0.68,0.72,0.70
95,Trinidad and Tobago,12.13,10.80,10.40,10.50,8.40,8.00,6.20,5.60,4.60,5.30,5.90,5.00,4.80,3.70,5.00
96,Tunisia,15.69,15.13,15.26,14.51,14.24,12.82,12.51,12.40,12.44,13.29,13.05,18.89,16.72,15.33,15.30
97,Turkey,5.62,7.23,8.99,9.14,8.92,9.49,9.03,9.18,10.02,13.05,11.13,9.10,8.43,9.04,9.48
98,Ukraine,11.48,10.79,9.63,9.06,8.59,7.18,6.81,6.35,6.36,8.84,8.10,7.86,7.53,7.17,9.97
99,United Kingdom,5.45,5.10,5.20,5.03,4.75,4.88,5.45,5.35,5.73,7.65,7.85,8.10,7.95,7.60,6.34
100,United States,3.97,4.74,5.78,5.99,5.54,5.08,4.61,4.62,5.80,9.28,9.63,8.93,8.08,7.35,6.29
101,Uruguay,13.40,15.19,16.75,17.15,13.33,12.16,10.94,9.24,7.61,7.31,7.02,6.33,6.33,6.60,6.81
102,"Venezuela, Rep. Bol.",14.01,13.36,16.00,18.19,15.07,12.24,9.96,8.49,7.35,7.88,8.51,8.20,7.82,7.47,7.99
103,Vietnam,6.42,6.28,6.01,5.78,5.60,5.31,4.82,4.64,4.65,4.60,4.29,4.51,4.47,4.42,4.42